/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:2978: UserWarning: torch.distributed._all_gather_base is a private function and will be deprecated. Please use torch.distributed.all_gather_into_tensor instead.
  warnings.warn(
(min, max) time across ranks (ms):
    load-checkpoint ................................: (58356.41, 58356.57)
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (64279.22, 64309.93)
    train/valid/test-data-iterators-setup ..........: (130936.87, 134026.11)
/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:3387: UserWarning: torch.distributed._reduce_scatter_base is a private function and will be deprecated. Please use torch.distributed.reduce_scatter_tensor instead.
  warnings.warn(
/data/xunjian_yin/mycode/MAP-NEO/Megatron-LM-NEO/megatron/training.py:533: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /opt/conda/conda-bld/pytorch_1716905975447/work/torch/csrc/tensor/python_tensor.cpp:78.)
  key, torch.cuda.FloatTensor([0.0])) + loss_dict[key]
 iteration     8001/   51900 | consumed samples:      8193024 | elapsed time per iteration (ms): 45353.6 | learning rate: 1.937E-04 | global batch size:  1024 | lm loss: 2.050100E+00 | loss scale: 1.0 | grad norm: 0.094 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8040/   51900 | consumed samples:      8232960 | elapsed time per iteration (ms): 37918.8 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.025813E+00 | loss scale: 1.0 | grad norm: 0.078 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8041/   51900 | consumed samples:      8233984 | elapsed time per iteration (ms): 37896.1 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.033453E+00 | loss scale: 1.0 | grad norm: 0.466 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8042/   51900 | consumed samples:      8235008 | elapsed time per iteration (ms): 37931.6 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.041748E+00 | loss scale: 1.0 | grad norm: 0.080 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8043/   51900 | consumed samples:      8236032 | elapsed time per iteration (ms): 37902.8 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.043256E+00 | loss scale: 1.0 | grad norm: 0.075 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8044/   51900 | consumed samples:      8237056 | elapsed time per iteration (ms): 37893.9 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.028224E+00 | loss scale: 1.0 | grad norm: 0.072 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8045/   51900 | consumed samples:      8238080 | elapsed time per iteration (ms): 37906.2 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.016113E+00 | loss scale: 1.0 | grad norm: 0.072 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8046/   51900 | consumed samples:      8239104 | elapsed time per iteration (ms): 37905.9 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.030172E+00 | loss scale: 1.0 | grad norm: 0.071 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8047/   51900 | consumed samples:      8240128 | elapsed time per iteration (ms): 37918.7 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.034546E+00 | loss scale: 1.0 | grad norm: 0.077 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8048/   51900 | consumed samples:      8241152 | elapsed time per iteration (ms): 37906.1 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.016283E+00 | loss scale: 1.0 | grad norm: 0.080 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8049/   51900 | consumed samples:      8242176 | elapsed time per iteration (ms): 37904.0 | learning rate: 1.936E-04 | global batch size:  1024 | lm loss: 2.026799E+00 | loss scale: 1.0 | grad norm: 0.083 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8050/   51900 | consumed samples:      8243200 | elapsed time per iteration (ms): 37910.1 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.033976E+00 | loss scale: 1.0 | grad norm: 0.091 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8051/   51900 | consumed samples:      8244224 | elapsed time per iteration (ms): 37888.4 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.025315E+00 | loss scale: 1.0 | grad norm: 0.084 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8052/   51900 | consumed samples:      8245248 | elapsed time per iteration (ms): 37909.3 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.030575E+00 | loss scale: 1.0 | grad norm: 0.076 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8053/   51900 | consumed samples:      8246272 | elapsed time per iteration (ms): 37892.8 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.045328E+00 | loss scale: 1.0 | grad norm: 0.086 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8054/   51900 | consumed samples:      8247296 | elapsed time per iteration (ms): 37929.4 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.024009E+00 | loss scale: 1.0 | grad norm: 0.089 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8055/   51900 | consumed samples:      8248320 | elapsed time per iteration (ms): 37922.9 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.047637E+00 | loss scale: 1.0 | grad norm: 0.094 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8056/   51900 | consumed samples:      8249344 | elapsed time per iteration (ms): 37939.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 1.996737E+00 | loss scale: 1.0 | grad norm: 0.100 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8057/   51900 | consumed samples:      8250368 | elapsed time per iteration (ms): 37904.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.023348E+00 | loss scale: 1.0 | grad norm: 0.089 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8058/   51900 | consumed samples:      8251392 | elapsed time per iteration (ms): 37938.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.023106E+00 | loss scale: 1.0 | grad norm: 0.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8059/   51900 | consumed samples:      8252416 | elapsed time per iteration (ms): 37931.2 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.038527E+00 | loss scale: 1.0 | grad norm: 0.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8060/   51900 | consumed samples:      8253440 | elapsed time per iteration (ms): 37880.5 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.036241E+00 | loss scale: 1.0 | grad norm: 0.090 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8061/   51900 | consumed samples:      8254464 | elapsed time per iteration (ms): 37921.9 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.027780E+00 | loss scale: 1.0 | grad norm: 0.098 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8062/   51900 | consumed samples:      8255488 | elapsed time per iteration (ms): 37919.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.016962E+00 | loss scale: 1.0 | grad norm: 0.091 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8063/   51900 | consumed samples:      8256512 | elapsed time per iteration (ms): 37935.2 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.021669E+00 | loss scale: 1.0 | grad norm: 0.073 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8064/   51900 | consumed samples:      8257536 | elapsed time per iteration (ms): 37873.5 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.035407E+00 | loss scale: 1.0 | grad norm: 0.078 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8065/   51900 | consumed samples:      8258560 | elapsed time per iteration (ms): 37931.9 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.034659E+00 | loss scale: 1.0 | grad norm: 0.077 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8066/   51900 | consumed samples:      8259584 | elapsed time per iteration (ms): 37922.4 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.019211E+00 | loss scale: 1.0 | grad norm: 0.076 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8067/   51900 | consumed samples:      8260608 | elapsed time per iteration (ms): 37921.9 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.000323E+00 | loss scale: 1.0 | grad norm: 0.085 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8068/   51900 | consumed samples:      8261632 | elapsed time per iteration (ms): 37912.6 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.015275E+00 | loss scale: 1.0 | grad norm: 0.084 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8069/   51900 | consumed samples:      8262656 | elapsed time per iteration (ms): 37975.4 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.041571E+00 | loss scale: 1.0 | grad norm: 0.088 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8070/   51900 | consumed samples:      8263680 | elapsed time per iteration (ms): 37919.6 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.029182E+00 | loss scale: 1.0 | grad norm: 0.084 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8071/   51900 | consumed samples:      8264704 | elapsed time per iteration (ms): 37904.6 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.035631E+00 | loss scale: 1.0 | grad norm: 0.075 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8072/   51900 | consumed samples:      8265728 | elapsed time per iteration (ms): 37913.4 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.028105E+00 | loss scale: 1.0 | grad norm: 0.080 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8073/   51900 | consumed samples:      8266752 | elapsed time per iteration (ms): 37934.6 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.039117E+00 | loss scale: 1.0 | grad norm: 0.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8074/   51900 | consumed samples:      8267776 | elapsed time per iteration (ms): 37909.2 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.010321E+00 | loss scale: 1.0 | grad norm: 0.087 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8075/   51900 | consumed samples:      8268800 | elapsed time per iteration (ms): 37927.2 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.029371E+00 | loss scale: 1.0 | grad norm: 0.086 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8076/   51900 | consumed samples:      8269824 | elapsed time per iteration (ms): 37878.1 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.042060E+00 | loss scale: 1.0 | grad norm: 0.089 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8077/   51900 | consumed samples:      8270848 | elapsed time per iteration (ms): 37939.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.047704E+00 | loss scale: 1.0 | grad norm: 0.092 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8078/   51900 | consumed samples:      8271872 | elapsed time per iteration (ms): 37922.9 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.039425E+00 | loss scale: 1.0 | grad norm: 0.101 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8079/   51900 | consumed samples:      8272896 | elapsed time per iteration (ms): 37912.8 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.010399E+00 | loss scale: 1.0 | grad norm: 0.102 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8080/   51900 | consumed samples:      8273920 | elapsed time per iteration (ms): 37895.4 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.051531E+00 | loss scale: 1.0 | grad norm: 0.098 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8081/   51900 | consumed samples:      8274944 | elapsed time per iteration (ms): 37911.5 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.030451E+00 | loss scale: 1.0 | grad norm: 0.089 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8082/   51900 | consumed samples:      8275968 | elapsed time per iteration (ms): 37895.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.038128E+00 | loss scale: 1.0 | grad norm: 0.092 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8083/   51900 | consumed samples:      8276992 | elapsed time per iteration (ms): 37924.2 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.046729E+00 | loss scale: 1.0 | grad norm: 0.099 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8084/   51900 | consumed samples:      8278016 | elapsed time per iteration (ms): 37922.9 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 1.997211E+00 | loss scale: 1.0 | grad norm: 0.092 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8085/   51900 | consumed samples:      8279040 | elapsed time per iteration (ms): 37908.7 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.035985E+00 | loss scale: 1.0 | grad norm: 0.090 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8086/   51900 | consumed samples:      8280064 | elapsed time per iteration (ms): 37886.2 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.019636E+00 | loss scale: 1.0 | grad norm: 0.089 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8087/   51900 | consumed samples:      8281088 | elapsed time per iteration (ms): 37933.3 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.036570E+00 | loss scale: 1.0 | grad norm: 0.076 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8088/   51900 | consumed samples:      8282112 | elapsed time per iteration (ms): 37919.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.036875E+00 | loss scale: 1.0 | grad norm: 0.079 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8089/   51900 | consumed samples:      8283136 | elapsed time per iteration (ms): 37942.2 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.018647E+00 | loss scale: 1.0 | grad norm: 0.084 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8090/   51900 | consumed samples:      8284160 | elapsed time per iteration (ms): 37929.7 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.021547E+00 | loss scale: 1.0 | grad norm: 0.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8091/   51900 | consumed samples:      8285184 | elapsed time per iteration (ms): 37928.5 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.020429E+00 | loss scale: 1.0 | grad norm: 0.083 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8092/   51900 | consumed samples:      8286208 | elapsed time per iteration (ms): 37938.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 1.999803E+00 | loss scale: 1.0 | grad norm: 0.073 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8093/   51900 | consumed samples:      8287232 | elapsed time per iteration (ms): 37909.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.003757E+00 | loss scale: 1.0 | grad norm: 0.085 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8094/   51900 | consumed samples:      8288256 | elapsed time per iteration (ms): 37925.0 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.034394E+00 | loss scale: 1.0 | grad norm: 0.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8095/   51900 | consumed samples:      8289280 | elapsed time per iteration (ms): 37923.3 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.032345E+00 | loss scale: 1.0 | grad norm: 0.104 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     8096/   51900 | consumed samples:      8290304 | elapsed time per iteration (ms): 37920.6 | learning rate: 1.935E-04 | global batch size:  1024 | lm loss: 2.042036E+00 | loss scale: 1.0 | grad norm: 0.118 | number of skipped iterations:   0 | number of nan iterations:   0 |
