/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:2978: UserWarning: torch.distributed._all_gather_base is a private function and will be deprecated. Please use torch.distributed.all_gather_into_tensor instead.
  warnings.warn(
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (2102.79, 6217.37)
    train/valid/test-data-iterators-setup ..........: (78921.49, 82822.24)
/data/xunjian_yin/miniconda3/envs/apex/lib/python3.8/site-packages/torch/distributed/distributed_c10d.py:3387: UserWarning: torch.distributed._reduce_scatter_base is a private function and will be deprecated. Please use torch.distributed.reduce_scatter_tensor instead.
  warnings.warn(
/data/xunjian_yin/mycode/MAP-NEO/Megatron-LM-NEO/megatron/training.py:533: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /opt/conda/conda-bld/pytorch_1716905975447/work/torch/csrc/tensor/python_tensor.cpp:78.)
  key, torch.cuda.FloatTensor([0.0])) + loss_dict[key]
 iteration        1/   51900 | consumed samples:         1024 | elapsed time per iteration (ms): 52794.2 | learning rate: 1.000E-07 | global batch size:  1024 | lm loss: 1.172341E+01 | loss scale: 1.0 | grad norm: 39.729 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       19/   51900 | consumed samples:        19456 | elapsed time per iteration (ms): 40353.4 | learning rate: 1.900E-06 | global batch size:  1024 | lm loss: 9.654534E+00 | loss scale: 1.0 | grad norm: 13.801 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       20/   51900 | consumed samples:        20480 | elapsed time per iteration (ms): 40337.3 | learning rate: 2.000E-06 | global batch size:  1024 | lm loss: 9.584299E+00 | loss scale: 1.0 | grad norm: 26.160 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       21/   51900 | consumed samples:        21504 | elapsed time per iteration (ms): 40342.4 | learning rate: 2.100E-06 | global batch size:  1024 | lm loss: 9.388171E+00 | loss scale: 1.0 | grad norm: 26.967 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       22/   51900 | consumed samples:        22528 | elapsed time per iteration (ms): 40328.9 | learning rate: 2.200E-06 | global batch size:  1024 | lm loss: 9.153606E+00 | loss scale: 1.0 | grad norm: 16.649 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       23/   51900 | consumed samples:        23552 | elapsed time per iteration (ms): 40324.6 | learning rate: 2.300E-06 | global batch size:  1024 | lm loss: 8.974939E+00 | loss scale: 1.0 | grad norm: 10.435 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       24/   51900 | consumed samples:        24576 | elapsed time per iteration (ms): 40310.0 | learning rate: 2.400E-06 | global batch size:  1024 | lm loss: 8.862770E+00 | loss scale: 1.0 | grad norm: 11.883 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       25/   51900 | consumed samples:        25600 | elapsed time per iteration (ms): 40315.0 | learning rate: 2.500E-06 | global batch size:  1024 | lm loss: 8.797524E+00 | loss scale: 1.0 | grad norm: 11.641 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       26/   51900 | consumed samples:        26624 | elapsed time per iteration (ms): 40300.8 | learning rate: 2.600E-06 | global batch size:  1024 | lm loss: 8.641099E+00 | loss scale: 1.0 | grad norm: 10.491 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       27/   51900 | consumed samples:        27648 | elapsed time per iteration (ms): 40319.6 | learning rate: 2.700E-06 | global batch size:  1024 | lm loss: 8.550941E+00 | loss scale: 1.0 | grad norm: 8.249 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       28/   51900 | consumed samples:        28672 | elapsed time per iteration (ms): 40298.1 | learning rate: 2.800E-06 | global batch size:  1024 | lm loss: 8.486401E+00 | loss scale: 1.0 | grad norm: 11.429 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       29/   51900 | consumed samples:        29696 | elapsed time per iteration (ms): 40285.0 | learning rate: 2.900E-06 | global batch size:  1024 | lm loss: 8.391455E+00 | loss scale: 1.0 | grad norm: 14.339 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       30/   51900 | consumed samples:        30720 | elapsed time per iteration (ms): 40276.1 | learning rate: 3.000E-06 | global batch size:  1024 | lm loss: 8.261129E+00 | loss scale: 1.0 | grad norm: 8.861 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       31/   51900 | consumed samples:        31744 | elapsed time per iteration (ms): 40301.9 | learning rate: 3.100E-06 | global batch size:  1024 | lm loss: 8.247384E+00 | loss scale: 1.0 | grad norm: 6.200 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       32/   51900 | consumed samples:        32768 | elapsed time per iteration (ms): 40293.6 | learning rate: 3.200E-06 | global batch size:  1024 | lm loss: 8.211193E+00 | loss scale: 1.0 | grad norm: 6.844 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       33/   51900 | consumed samples:        33792 | elapsed time per iteration (ms): 40287.8 | learning rate: 3.300E-06 | global batch size:  1024 | lm loss: 8.123529E+00 | loss scale: 1.0 | grad norm: 5.669 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       34/   51900 | consumed samples:        34816 | elapsed time per iteration (ms): 40298.8 | learning rate: 3.400E-06 | global batch size:  1024 | lm loss: 8.073908E+00 | loss scale: 1.0 | grad norm: 6.492 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       35/   51900 | consumed samples:        35840 | elapsed time per iteration (ms): 40284.7 | learning rate: 3.500E-06 | global batch size:  1024 | lm loss: 7.981196E+00 | loss scale: 1.0 | grad norm: 6.178 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       36/   51900 | consumed samples:        36864 | elapsed time per iteration (ms): 40274.3 | learning rate: 3.600E-06 | global batch size:  1024 | lm loss: 7.955324E+00 | loss scale: 1.0 | grad norm: 4.916 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       37/   51900 | consumed samples:        37888 | elapsed time per iteration (ms): 40287.4 | learning rate: 3.700E-06 | global batch size:  1024 | lm loss: 7.876165E+00 | loss scale: 1.0 | grad norm: 5.085 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       38/   51900 | consumed samples:        38912 | elapsed time per iteration (ms): 40283.3 | learning rate: 3.800E-06 | global batch size:  1024 | lm loss: 7.864697E+00 | loss scale: 1.0 | grad norm: 4.402 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       39/   51900 | consumed samples:        39936 | elapsed time per iteration (ms): 40292.7 | learning rate: 3.900E-06 | global batch size:  1024 | lm loss: 7.743071E+00 | loss scale: 1.0 | grad norm: 3.962 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       40/   51900 | consumed samples:        40960 | elapsed time per iteration (ms): 40297.5 | learning rate: 4.000E-06 | global batch size:  1024 | lm loss: 7.754302E+00 | loss scale: 1.0 | grad norm: 7.646 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       41/   51900 | consumed samples:        41984 | elapsed time per iteration (ms): 40304.2 | learning rate: 4.100E-06 | global batch size:  1024 | lm loss: 7.744403E+00 | loss scale: 1.0 | grad norm: 3.728 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       42/   51900 | consumed samples:        43008 | elapsed time per iteration (ms): 40298.8 | learning rate: 4.200E-06 | global batch size:  1024 | lm loss: 7.680662E+00 | loss scale: 1.0 | grad norm: 4.285 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       43/   51900 | consumed samples:        44032 | elapsed time per iteration (ms): 40281.5 | learning rate: 4.300E-06 | global batch size:  1024 | lm loss: 7.654470E+00 | loss scale: 1.0 | grad norm: 4.463 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       44/   51900 | consumed samples:        45056 | elapsed time per iteration (ms): 40274.3 | learning rate: 4.400E-06 | global batch size:  1024 | lm loss: 7.596308E+00 | loss scale: 1.0 | grad norm: 3.848 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       45/   51900 | consumed samples:        46080 | elapsed time per iteration (ms): 40295.7 | learning rate: 4.500E-06 | global batch size:  1024 | lm loss: 7.563265E+00 | loss scale: 1.0 | grad norm: 6.174 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       46/   51900 | consumed samples:        47104 | elapsed time per iteration (ms): 40293.4 | learning rate: 4.600E-06 | global batch size:  1024 | lm loss: 7.563918E+00 | loss scale: 1.0 | grad norm: 4.427 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       47/   51900 | consumed samples:        48128 | elapsed time per iteration (ms): 40290.4 | learning rate: 4.700E-06 | global batch size:  1024 | lm loss: 7.496213E+00 | loss scale: 1.0 | grad norm: 5.043 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       48/   51900 | consumed samples:        49152 | elapsed time per iteration (ms): 40296.2 | learning rate: 4.800E-06 | global batch size:  1024 | lm loss: 7.494473E+00 | loss scale: 1.0 | grad norm: 3.709 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       49/   51900 | consumed samples:        50176 | elapsed time per iteration (ms): 40269.3 | learning rate: 4.900E-06 | global batch size:  1024 | lm loss: 7.418188E+00 | loss scale: 1.0 | grad norm: 6.116 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       50/   51900 | consumed samples:        51200 | elapsed time per iteration (ms): 40288.3 | learning rate: 5.000E-06 | global batch size:  1024 | lm loss: 7.418054E+00 | loss scale: 1.0 | grad norm: 3.230 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       51/   51900 | consumed samples:        52224 | elapsed time per iteration (ms): 40296.0 | learning rate: 5.100E-06 | global batch size:  1024 | lm loss: 7.366251E+00 | loss scale: 1.0 | grad norm: 4.087 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       52/   51900 | consumed samples:        53248 | elapsed time per iteration (ms): 40283.6 | learning rate: 5.200E-06 | global batch size:  1024 | lm loss: 7.290343E+00 | loss scale: 1.0 | grad norm: 4.465 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       53/   51900 | consumed samples:        54272 | elapsed time per iteration (ms): 40293.4 | learning rate: 5.300E-06 | global batch size:  1024 | lm loss: 7.267037E+00 | loss scale: 1.0 | grad norm: 2.554 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       54/   51900 | consumed samples:        55296 | elapsed time per iteration (ms): 40324.4 | learning rate: 5.400E-06 | global batch size:  1024 | lm loss: 7.278817E+00 | loss scale: 1.0 | grad norm: 5.281 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       55/   51900 | consumed samples:        56320 | elapsed time per iteration (ms): 40317.5 | learning rate: 5.500E-06 | global batch size:  1024 | lm loss: 7.247107E+00 | loss scale: 1.0 | grad norm: 4.009 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       56/   51900 | consumed samples:        57344 | elapsed time per iteration (ms): 40304.1 | learning rate: 5.600E-06 | global batch size:  1024 | lm loss: 7.180441E+00 | loss scale: 1.0 | grad norm: 4.436 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       57/   51900 | consumed samples:        58368 | elapsed time per iteration (ms): 40302.0 | learning rate: 5.700E-06 | global batch size:  1024 | lm loss: 7.160666E+00 | loss scale: 1.0 | grad norm: 4.086 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       58/   51900 | consumed samples:        59392 | elapsed time per iteration (ms): 40315.1 | learning rate: 5.800E-06 | global batch size:  1024 | lm loss: 7.137659E+00 | loss scale: 1.0 | grad norm: 4.999 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       59/   51900 | consumed samples:        60416 | elapsed time per iteration (ms): 40302.9 | learning rate: 5.900E-06 | global batch size:  1024 | lm loss: 7.117922E+00 | loss scale: 1.0 | grad norm: 3.237 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       60/   51900 | consumed samples:        61440 | elapsed time per iteration (ms): 40300.7 | learning rate: 6.000E-06 | global batch size:  1024 | lm loss: 7.135494E+00 | loss scale: 1.0 | grad norm: 8.161 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       61/   51900 | consumed samples:        62464 | elapsed time per iteration (ms): 40324.2 | learning rate: 6.100E-06 | global batch size:  1024 | lm loss: 7.079374E+00 | loss scale: 1.0 | grad norm: 4.242 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       62/   51900 | consumed samples:        63488 | elapsed time per iteration (ms): 40290.3 | learning rate: 6.200E-06 | global batch size:  1024 | lm loss: 7.040671E+00 | loss scale: 1.0 | grad norm: 3.670 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       63/   51900 | consumed samples:        64512 | elapsed time per iteration (ms): 40325.2 | learning rate: 6.300E-06 | global batch size:  1024 | lm loss: 7.051801E+00 | loss scale: 1.0 | grad norm: 8.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       64/   51900 | consumed samples:        65536 | elapsed time per iteration (ms): 40307.3 | learning rate: 6.400E-06 | global batch size:  1024 | lm loss: 6.981589E+00 | loss scale: 1.0 | grad norm: 4.296 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       65/   51900 | consumed samples:        66560 | elapsed time per iteration (ms): 40289.4 | learning rate: 6.500E-06 | global batch size:  1024 | lm loss: 6.966639E+00 | loss scale: 1.0 | grad norm: 6.327 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       66/   51900 | consumed samples:        67584 | elapsed time per iteration (ms): 40289.5 | learning rate: 6.600E-06 | global batch size:  1024 | lm loss: 6.982605E+00 | loss scale: 1.0 | grad norm: 6.966 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       67/   51900 | consumed samples:        68608 | elapsed time per iteration (ms): 40319.9 | learning rate: 6.700E-06 | global batch size:  1024 | lm loss: 6.927647E+00 | loss scale: 1.0 | grad norm: 6.734 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       68/   51900 | consumed samples:        69632 | elapsed time per iteration (ms): 40314.7 | learning rate: 6.800E-06 | global batch size:  1024 | lm loss: 6.893174E+00 | loss scale: 1.0 | grad norm: 5.510 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       69/   51900 | consumed samples:        70656 | elapsed time per iteration (ms): 40360.8 | learning rate: 6.900E-06 | global batch size:  1024 | lm loss: 6.889862E+00 | loss scale: 1.0 | grad norm: 6.463 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       70/   51900 | consumed samples:        71680 | elapsed time per iteration (ms): 40304.9 | learning rate: 7.000E-06 | global batch size:  1024 | lm loss: 6.834559E+00 | loss scale: 1.0 | grad norm: 4.525 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       71/   51900 | consumed samples:        72704 | elapsed time per iteration (ms): 40331.8 | learning rate: 7.100E-06 | global batch size:  1024 | lm loss: 6.869573E+00 | loss scale: 1.0 | grad norm: 3.492 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       72/   51900 | consumed samples:        73728 | elapsed time per iteration (ms): 40305.3 | learning rate: 7.200E-06 | global batch size:  1024 | lm loss: 6.823897E+00 | loss scale: 1.0 | grad norm: 4.414 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       73/   51900 | consumed samples:        74752 | elapsed time per iteration (ms): 40341.1 | learning rate: 7.300E-06 | global batch size:  1024 | lm loss: 6.802939E+00 | loss scale: 1.0 | grad norm: 8.135 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       74/   51900 | consumed samples:        75776 | elapsed time per iteration (ms): 40339.3 | learning rate: 7.400E-06 | global batch size:  1024 | lm loss: 6.752308E+00 | loss scale: 1.0 | grad norm: 4.093 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       75/   51900 | consumed samples:        76800 | elapsed time per iteration (ms): 40322.3 | learning rate: 7.500E-06 | global batch size:  1024 | lm loss: 6.757298E+00 | loss scale: 1.0 | grad norm: 5.359 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       76/   51900 | consumed samples:        77824 | elapsed time per iteration (ms): 40305.0 | learning rate: 7.600E-06 | global batch size:  1024 | lm loss: 6.713745E+00 | loss scale: 1.0 | grad norm: 5.488 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       77/   51900 | consumed samples:        78848 | elapsed time per iteration (ms): 40312.0 | learning rate: 7.700E-06 | global batch size:  1024 | lm loss: 6.734646E+00 | loss scale: 1.0 | grad norm: 4.217 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       78/   51900 | consumed samples:        79872 | elapsed time per iteration (ms): 40301.2 | learning rate: 7.800E-06 | global batch size:  1024 | lm loss: 6.699309E+00 | loss scale: 1.0 | grad norm: 5.460 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       79/   51900 | consumed samples:        80896 | elapsed time per iteration (ms): 40306.1 | learning rate: 7.900E-06 | global batch size:  1024 | lm loss: 6.689637E+00 | loss scale: 1.0 | grad norm: 5.902 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       80/   51900 | consumed samples:        81920 | elapsed time per iteration (ms): 40330.9 | learning rate: 8.000E-06 | global batch size:  1024 | lm loss: 6.668038E+00 | loss scale: 1.0 | grad norm: 3.654 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       81/   51900 | consumed samples:        82944 | elapsed time per iteration (ms): 40323.2 | learning rate: 8.100E-06 | global batch size:  1024 | lm loss: 6.639703E+00 | loss scale: 1.0 | grad norm: 7.919 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       82/   51900 | consumed samples:        83968 | elapsed time per iteration (ms): 40315.2 | learning rate: 8.200E-06 | global batch size:  1024 | lm loss: 6.653926E+00 | loss scale: 1.0 | grad norm: 4.947 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       83/   51900 | consumed samples:        84992 | elapsed time per iteration (ms): 40304.1 | learning rate: 8.300E-06 | global batch size:  1024 | lm loss: 6.588066E+00 | loss scale: 1.0 | grad norm: 6.866 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       84/   51900 | consumed samples:        86016 | elapsed time per iteration (ms): 40309.4 | learning rate: 8.400E-06 | global batch size:  1024 | lm loss: 6.597281E+00 | loss scale: 1.0 | grad norm: 4.215 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       85/   51900 | consumed samples:        87040 | elapsed time per iteration (ms): 40338.9 | learning rate: 8.500E-06 | global batch size:  1024 | lm loss: 6.580351E+00 | loss scale: 1.0 | grad norm: 8.433 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       86/   51900 | consumed samples:        88064 | elapsed time per iteration (ms): 40319.8 | learning rate: 8.600E-06 | global batch size:  1024 | lm loss: 6.562719E+00 | loss scale: 1.0 | grad norm: 6.868 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       87/   51900 | consumed samples:        89088 | elapsed time per iteration (ms): 40289.7 | learning rate: 8.700E-06 | global batch size:  1024 | lm loss: 6.531904E+00 | loss scale: 1.0 | grad norm: 4.921 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       88/   51900 | consumed samples:        90112 | elapsed time per iteration (ms): 40310.4 | learning rate: 8.800E-06 | global batch size:  1024 | lm loss: 6.512796E+00 | loss scale: 1.0 | grad norm: 5.763 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       89/   51900 | consumed samples:        91136 | elapsed time per iteration (ms): 40326.9 | learning rate: 8.900E-06 | global batch size:  1024 | lm loss: 6.529691E+00 | loss scale: 1.0 | grad norm: 5.494 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       90/   51900 | consumed samples:        92160 | elapsed time per iteration (ms): 40325.5 | learning rate: 9.000E-06 | global batch size:  1024 | lm loss: 6.495168E+00 | loss scale: 1.0 | grad norm: 6.362 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       91/   51900 | consumed samples:        93184 | elapsed time per iteration (ms): 40339.7 | learning rate: 9.100E-06 | global batch size:  1024 | lm loss: 6.409107E+00 | loss scale: 1.0 | grad norm: 4.749 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       92/   51900 | consumed samples:        94208 | elapsed time per iteration (ms): 40332.3 | learning rate: 9.200E-06 | global batch size:  1024 | lm loss: 6.450214E+00 | loss scale: 1.0 | grad norm: 4.856 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       93/   51900 | consumed samples:        95232 | elapsed time per iteration (ms): 40339.5 | learning rate: 9.300E-06 | global batch size:  1024 | lm loss: 6.403269E+00 | loss scale: 1.0 | grad norm: 5.213 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       94/   51900 | consumed samples:        96256 | elapsed time per iteration (ms): 40332.2 | learning rate: 9.400E-06 | global batch size:  1024 | lm loss: 6.392069E+00 | loss scale: 1.0 | grad norm: 6.458 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       95/   51900 | consumed samples:        97280 | elapsed time per iteration (ms): 40316.2 | learning rate: 9.500E-06 | global batch size:  1024 | lm loss: 6.378079E+00 | loss scale: 1.0 | grad norm: 4.063 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       96/   51900 | consumed samples:        98304 | elapsed time per iteration (ms): 40433.9 | learning rate: 9.600E-06 | global batch size:  1024 | lm loss: 6.399528E+00 | loss scale: 1.0 | grad norm: 4.550 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       97/   51900 | consumed samples:        99328 | elapsed time per iteration (ms): 40324.5 | learning rate: 9.700E-06 | global batch size:  1024 | lm loss: 6.349048E+00 | loss scale: 1.0 | grad norm: 6.201 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration       98/   51900 | consumed samples:       100352 | elapsed time per iteration (ms): 40331.5 | learning rate: 9.800E-06 | global batch size:  1024 | lm loss: 6.330833E+00 | loss scale: 1.0 | grad norm: 4.638 | number of skipped iterations:   0 | number of nan iterations:   0 |
